workload,dtype,batch_size,total_samples,throughput,latency_p50,latency_p99,energy_total,avg_power,achieved_gflops,utilization_pct,arith_intensity,phase_staging,phase_compute,phase_output,tta_sec
deepseek_v2_mla_mla_prefill_b32_s2048,bf16,32,3276800,294693.2104362947,220.6033935546875,394.2512512207031,5036.776,318.2261006289308,137392.7832973345,0.3795380754070014,2700.8950630872796,1902.159383,11119.3603515625,561.181756,N/A
deepseek_v2_mla_mla_decode_b16_sinit3840+t256,bf16,16,19200,13001.484657386527,1.2306286875406902,,200.74935589931826,212.72486666666663,18278.50478356108,0.050493107136909056,,2671.705795,1476.7544250488281,0.567237,N/A
deepseek_v2_mla_mla_prefill_b1_s128,int8_wo,1,6400,74183.97517210123,1.7233920097351074,18.105344772338867,124.331,155.1308888888889,22918.152779286786,0.06330981430742205,123.58891904347381,27.115887,86.27200126647949,2.169045,N/A
deepseek_v2_mla_mla_prefill_b1_s256,int8_wo,1,12800,166002.66240150595,1.5411200523376465,19.46931266784668,66.825,190.156,53024.979454849185,0.14647784379792594,239.46722963247288,33.935997,77.10719704627991,3.765516,N/A
deepseek_v2_mla_mla_prefill_b1_s512,int8_wo,1,25600,240615.97800859658,2.1043200492858887,4.347904205322266,54.783,216.89975,81904.23136840257,0.22625478278564248,453.2687915459349,48.372936,106.39359951019287,2.46097,N/A
deepseek_v2_mla_mla_prefill_b1_s1024,int8_wo,1,51200,212224.1075970089,4.572159767150879,12.916735649108887,120.087,261.5555,81141.13371969617,0.2241467782312049,832.0356545961002,66.744402,241.25440120697021,8.420237,N/A
deepseek_v2_mla_mla_prefill_b1_s2048,int8_wo,1,102400,169161.79773687755,12.077055931091309,25.94918441772461,279.722,304.803,78867.13841910721,0.21786502325720225,1485.771160513971,81.262202,605.3376197814941,13.522886,N/A
deepseek_v2_mla_mla_prefill_b1_s4096,int8_wo,1,204800,136276.9147686908,29.79020881652832,40.93747329711914,612.839,317.5337619047619,86398.91855588161,0.2386710457344796,2631.4719086200025,144.091576,1502.8223991394043,51.492608,N/A
deepseek_v2_mla_mla_prefill_b1_s8192,int8_wo,1,409600,123846.68292516386,64.84889221191406,88.97331237792969,1349.078,321.3330465116279,120074.26144304326,0.33169685481503663,4741.117596432204,281.874705,3307.3150634765625,91.932705,N/A
deepseek_v2_mla_mla_prefill_b4_s128,int8_wo,4,25600,149970.00563081427,3.3822720050811768,6.871039867401123,82.004,311.8026,46331.239238445196,0.12798684872498672,411.38026248508606,46.204743,170.70080041885376,14.657868,N/A
deepseek_v2_mla_mla_prefill_b4_s256,int8_wo,4,51200,133797.16170913517,7.523327827453613,17.39366340637207,124.872,297.34257142857143,42737.81906933841,0.11806027367220555,695.1220055710306,57.503001,382.6688051223755,10.513667,N/A
deepseek_v2_mla_mla_prefill_b4_s512,int8_wo,4,102400,162773.66064870745,12.337151527404785,20.322303771972656,261.179,305.98969999999997,55407.17483847755,0.1530584940289435,1084.7758515194778,92.773739,629.094409942627,10.2261,N/A
deepseek_v2_mla_mla_prefill_b4_s1024,int8_wo,4,204800,175369.36646629628,23.09836769104004,35.22969436645508,476.455,312.83411764705886,67050.20167548912,0.18522155158974896,1586.9347854960818,145.345396,1167.8208351135254,50.221733,N/A
deepseek_v2_mla_mla_prefill_b4_s2048,int8_wo,4,409600,254186.13100196022,32.20172882080078,49.512447357177734,703.932,305.463347826087,118507.44698948455,0.3273686380924988,2279.8641733823642,282.224956,1611.417579650879,127.851908,N/A
deepseek_v2_mla_mla_prefill_b4_s4096,int8_wo,4,819200,257590.87995393915,63.58323287963867,78.814208984375,1269.895,284.51557142857143,163311.39794038996,0.4511364583988673,3403.4532102211724,574.280134,3180.23681640625,179.514141,N/A
deepseek_v2_mla_mla_prefill_b4_s8192,int8_wo,4,1638400,244504.37623469956,133.7855987548828,155.9193572998047,2857.151,320.20575862068966,237056.67122077013,0.6548526829303042,5472.307046260132,1035.377436,6700.902557373047,372.759798,N/A
deepseek_v2_mla_mla_prefill_b16_s128,int8_wo,16,102400,327976.39285074745,6.238207817077637,6.384640216827393,120.199,257.3826666666667,101323.9457971191,0.27990040275447264,984.5270242708546,109.340614,312.2175931930542,54.847721,N/A
deepseek_v2_mla_mla_prefill_b16_s256,int8_wo,16,204800,340570.44802918826,12.019712448120117,12.394495964050293,235.86,237.9576,108785.85167506727,0.3005134024173129,1325.8005047151016,183.633254,601.3440132141113,50.6683,N/A
deepseek_v2_mla_mla_prefill_b16_s512,int8_wo,16,409600,355982.73499598016,22.985727310180664,43.97465515136719,488.378,255.92405263157895,121174.3814004979,0.3347358602223699,1664.5508176199046,357.45851,1150.6175994873047,124.522524,N/A
deepseek_v2_mla_mla_prefill_b16_s1024,int8_wo,16,819200,358720.25478602864,45.669376373291016,70.24127960205078,935.147,272.98280645161293,137152.03466341193,0.37887302393207717,2052.4856345286667,964.060115,2283.673667907715,147.619047,N/A
deepseek_v2_mla_mla_prefill_b16_s2048,int8_wo,16,1638400,164615.8314799379,197.63302612304688,228.0089569091797,3779.545,310.583825,76747.70392011755,0.21201023182352913,2631.471699817127,986.536923,9952.870178222656,351.162492,N/A
deepseek_v2_mla_mla_prefill_b16_s4096,int8_wo,16,3276800,267479.13450690825,244.57933044433594,264.511474609375,4847.383,320.11689333333334,169580.50449619882,0.4684544323099415,3672.8224403017066,1932.309531,12250.675201416016,577.970501,N/A
deepseek_v2_mla_mla_prefill_b32_s128,int8_wo,32,204800,347644.7191231872,11.771903991699219,12.180480003356934,223.005,216.96280000000002,107400.21368892322,0.29668567317382105,1282.2781245849383,173.555877,589.1071796417236,78.026277,N/A
deepseek_v2_mla_mla_prefill_b32_s256,int8_wo,32,409600,359760.7732628783,22.760448455810547,31.219711303710938,452.805,260.5128125,114915.67264617392,0.31744660951981746,1561.9985916594947,357.071494,1138.5343551635742,66.426809,N/A
deepseek_v2_mla_mla_prefill_b32_s512,int8_wo,32,819200,188581.32878709098,84.66636657714844,121.7290267944336,1574.817,310.54061538461536,64191.94981385178,0.17732582821506018,1827.3243719132488,508.689425,4344.014358520508,201.036486,N/A
deepseek_v2_mla_mla_prefill_b32_s1024,int8_wo,32,1638400,199631.93521743314,163.62701416015625,219.9879608154297,3289.229,319.18575961538465,76326.68000639418,0.21084718233810545,2157.999142076626,998.008045,8207.103729248047,348.332242,N/A
deepseek_v2_mla_mla_prefill_b32_s2048,int8_wo,32,3276800,326454.00421877555,200.55654907226562,247.44857788085938,4182.351,327.73701515151515,152200.39916010664,0.4204430916025045,2700.8950630872796,2046.672382,10037.554931640625,705.962682,N/A
