workload,dtype,batch_size,total_samples,throughput,latency_p50,latency_p99,energy_total,avg_power,achieved_gflops,utilization_pct,arith_intensity,phase_staging,phase_compute,phase_output,tta_sec
starcoder_7b_mqa_mqa_prefill_b32_s2048,bf16,32,3276800,1831134.9439485113,35.467262268066406,47.294464111328125,738.244,277.79995833333334,188168.2471886039,0.5198017878138229,2992.790307548928,1625.458133,1789.4912719726562,386.033938,N/A
starcoder_7b_mqa_mqa_prefill_b32_s4096,bf16,32,6553600,1619945.5460304713,80.90828704833984,84.26496124267578,1673.301,313.5130588235294,220822.6827136782,0.6100074108112657,4032.0302886890677,5353.097546,4045.568084716797,810.388508,N/A
starcoder_7b_mqa_mqa_prefill_b32_s8192,bf16,32,13107200,1098849.2238822563,237.65811157226562,423.2181701660156,5999.26,332.92524444444444,223532.02321362277,0.6174917768332121,6064.38540424517,7928.81933,11928.11508178711,1722.69225,N/A
starcoder_7b_mqa_mqa_decode_b16_sinit3840+t256,bf16,16,19200,82975.61622173761,0.1928277333577474,,0.0,107.87840000000001,11147.674468650983,0.030794680852627022,,1658.923336,231.39328002929688,0.439043,N/A
starcoder_7b_mqa_mqa_prefill_b1_s128,int8_wo,1,6400,405844.1718490543,0.31539198756217957,1.022976040840149,22.16,103.98875000000001,28937.975167173987,0.07993915792037014,124.23193577163246,35.19807,15.769599378108978,1.619715,N/A
starcoder_7b_mqa_mqa_prefill_b1_s256,int8_wo,1,12800,798722.0528373073,0.2764799892902374,0.9922559857368469,13.204,99.848,58626.45426931527,0.16195153113070515,241.75379426644182,43.652344,16.02559983730316,2.121373,N/A
starcoder_7b_mqa_mqa_prefill_b1_s512,int8_wo,1,25600,1602564.1579972384,0.319487988948822,0.3676159977912903,3.1551397037366984,98.55900000000001,124350.36327567232,0.3435092908167744,460.64437689969606,59.953179,15.974399447441101,0.782436,N/A
starcoder_7b_mqa_mqa_prefill_b1_s1024,int8_wo,1,51200,1631321.3408462044,0.6266880035400391,2.258944034576416,4.9971406225506225,98.57800000000002,140266.28131653028,0.3874759152390339,852.4670050761422,67.604056,31.385600566864014,1.660366,N/A
starcoder_7b_mqa_mqa_prefill_b1_s2048,int8_wo,1,102400,1556420.2265143187,1.3137919902801514,3.0105600357055664,10.799,103.62433333333333,159938.4397528729,0.4418188943449527,1532.0916030534352,91.548997,65.79200029373169,9.399735,N/A
starcoder_7b_mqa_mqa_prefill_b1_s4096,int8_wo,1,204800,1623376.6873962171,2.5221118927001953,4.317183971405029,50.451,135.8185,221290.39833721286,0.6112994429204774,2716.734693877551,141.153276,126.15679502487183,18.573824,N/A
starcoder_7b_mqa_mqa_prefill_b1_s8192,int8_wo,1,409600,1136040.886145089,7.1833600997924805,15.258624076843262,143.888,207.80328571428572,231097.69039671173,0.6383914099356678,4874.993865030675,214.929066,360.5504035949707,39.760052,N/A
starcoder_7b_mqa_mqa_prefill_b4_s128,int8_wo,4,25600,1577287.0753193365,0.3246079981327057,0.4188160002231598,8.353,259.81733333333335,112465.5653157233,0.310678357225755,423.2948328267477,46.09715,16.230399906635284,7.510669,N/A
